,product_name,brand_name,price,love_count,color,rgb,link
0,Lip Maestro,GIORGIO ARMANI BEAUTY,38.0,103038,Out of stock: 405,"(141, 6, 2)",https://www.sephora.com/product/lip-maestro-P393411?skuId=1441583&icid2=products grid:p393411:product
1,Lip Maestro,GIORGIO ARMANI BEAUTY,38.0,103038,507,"(144, 75, 94)",https://www.sephora.com/product/lip-maestro-P393411?skuId=1441583&icid2=products grid:p393411:product
2,Lip Maestro,GIORGIO ARMANI BEAUTY,38.0,103038,406,"(137, 38, 33)",https://www.sephora.com/product/lip-maestro-P393411?skuId=1441583&icid2=products grid:p393411:product
3,Lip Maestro,GIORGIO ARMANI BEAUTY,38.0,103038,508,"(245, 161, 151)",https://www.sephora.com/product/lip-maestro-P393411?skuId=1441583&icid2=products grid:p393411:product
4,Lip Maestro,GIORGIO ARMANI BEAUTY,38.0,103038,Out of stock: 400,"(163, 25, 23)",https://www.sephora.com/product/lip-maestro-P393411?skuId=1441583&icid2=products grid:p393411:product
5,Lip Maestro,GIORGIO ARMANI BEAUTY,38.0,103038,401,"(228, 39, 37)",https://www.sephora.com/product/lip-maestro-P393411?skuId=1441583&icid2=products grid:p393411:product
6,Lip Maestro,GIORGIO ARMANI BEAUTY,38.0,103038,402,"(207, 13, 22)",https://www.sephora.com/product/lip-maestro-P393411?skuId=1441583&icid2=products grid:p393411:product
7,Lip Maestro,GIORGIO ARMANI BEAUTY,38.0,103038,504,"(195, 22, 67)",https://www.sephora.com/product/lip-maestro-P393411?skuId=1441583&icid2=products grid:p393411:product
8,Lip Maestro,GIORGIO ARMANI BEAUTY,38.0,103038,501,"(170, 70, 72)",https://www.sephora.com/product/lip-maestro-P393411?skuId=1441583&icid2=products grid:p393411:product
9,Lip Maestro,GIORGIO ARMANI BEAUTY,38.0,103038,502,"(159, 24, 54)",https://www.sephora.com/product/lip-maestro-P393411?skuId=1441583&icid2=products grid:p393411:product
10,Lip Maestro,GIORGIO ARMANI BEAUTY,38.0,103038,503,"(201, 17, 55)",https://www.sephora.com/product/lip-maestro-P393411?skuId=1441583&icid2=products grid:p393411:product
11,Lip Maestro,GIORGIO ARMANI BEAUTY,38.0,103038,200,"(166, 55, 44)",https://www.sephora.com/product/lip-maestro-P393411?skuId=1441583&icid2=products grid:p393411:product
12,Lip Maestro,GIORGIO ARMANI BEAUTY,38.0,103038,300,"(255, 64, 54)",https://www.sephora.com/product/lip-maestro-P393411?skuId=1441583&icid2=products grid:p393411:product
13,Lip Maestro,GIORGIO ARMANI BEAUTY,38.0,103038,500,"(197, 92, 86)",https://www.sephora.com/product/lip-maestro-P393411?skuId=1441583&icid2=products grid:p393411:product
14,Lip Maestro,GIORGIO ARMANI BEAUTY,38.0,103038,201,"(141, 35, 35)",https://www.sephora.com/product/lip-maestro-P393411?skuId=1441583&icid2=products grid:p393411:product
15,Lip Maestro,GIORGIO ARMANI BEAUTY,38.0,103038,202,"(193, 110, 94)",https://www.sephora.com/product/lip-maestro-P393411?skuId=1441583&icid2=products grid:p393411:product
16,LUST: Mini MatteTrance™ Lipstick Trio,PAT MCGRATH LABS,25.0,61397,"Skin Show omi, 1995, flesh 3","(131, 53, 53)",https://www.sephora.com/product/lust-mini-mattetrance-lipstick-skin-show-trio-P434529?skuId=2148690&icid2=products grid:p434529:product
17,LUST: Mini MatteTrance™ Lipstick Trio,PAT MCGRATH LABS,25.0,61397,"Out of stock: Colour Blitz obsessed!, full panic, elson","(188, 15, 68)",https://www.sephora.com/product/lust-mini-mattetrance-lipstick-skin-show-trio-P434529?skuId=2148690&icid2=products grid:p434529:product
18,Dior Lip Glow,DIOR,34.0,220013,101 Matte Pink sheer matte ballet pink,"(253, 209, 224)",https://www.sephora.com/product/dior-addict-lip-glow-color-reviver-balm-P236816?icid2=products grid:p236816:product
